,0,1,2
0,"NL notables Houston's Roger Clemens (18-4) isn't scheduled to make another start before the end of the regular season, but has suggested he'd like to pitch in the regular-season finale against Colorado Sunday.",1,0
1,NBA skips arbitration hearing on brawl suspensions (AFP) AFP - National Basketball Association players union leaders met with an arbitrator to have suspensions from a brawl between players and fans reduced but league officials did not participate.,1,0
2,"American says US backed his jail KABUL, Afghanistan -- Jonathan Keith Idema, an American accused of running a freelance antiterror operation and private prison in Afghanistan, testified in court yesterday that he could prove US and Afghan authorities were fully aware of his actions, and he accused the FBI of confiscating evidence that would support his contention.",0,0
3,"Sprint PCS becomes first carrier to offer new Treo Sprint Corp. announced it will be the first carrier to offer palmOne Inc. #39;s new Treo 650 smart phone. The device, which will retail for  $600, includes phone, e-mail, Web, organizer, MP3 player, digital camera and camcorder capabilities.",3,0
4,"Security firms merge to form Cybertrust A new managed security behemoth has been created by the merger of three security vendors. Betrusted Holdings, TruSecure Corporation and Ubizen (a subsidiary of Betrusted) will amalgamate and form a new company, known as Cybertrust.",3,0
5,"GM beefs up incentives after disappointing November sales General Motors Corp., coming off a disappointing November sales period and battling to regain US market share, will launch a new promotion Friday that includes cash bonuses on many new models in addition to incentives already available.",2,0
6,"News Ltd considers SANZAR deal The deal will now include a Super 14 with two new teams from Australia and South Africa, as well as an extra round of the Tri-Nations.",1,0
7,"MGM shares drop 8 pct on potential for lower bids Metro-Goldwyn-Mayer Inc. (MGM.N: Quote, Profile, Research) shares dropped 8 percent on Thursday after the film studio indicated a sale of its assets would likely be less than Wall Street has been expecting.",2,0
8,ActBlue Lets Anyone Be PAC Man Voters who feel disempowered by political fat cats have a new option: a website that allows individuals to create their own political action committee. Now anyone can be a professional Democratic fund-raiser. By Daniel Terdiman.,3,0
9,"Net nearly doubles, helped by stronger results at Hutchison HONG KONG Cheung Kong (Holdings), the holding company of the billionaire Li Ka-shing, said Thursday that first-half profit almost doubled, spurred by higher earnings from its Hutchison Whampoa unit and a surge in property sales. ",2,0
10,"Pitcairn Island mayor sacked PITCAIRN Island mayor Steve Christian has been sacked after being sentenced to three years #39; jail for sex abuse crimes, British High Commission spokesman Bryan Nicolson said in Wellington today.",0,0
11,"Researchers Develop 3-D Phone Technology TOKYO - It #39;s an idea that was popularized by Princess Leia #39;s plea for help in Star Wars: sending a 3-D hologram. Now, two Japanese scientists have developed technology they hope will one day turn the humble ",3,0
12,"Spurrier reportedly to lead USC after Holtz #39;s retirement (Columbia-AP) Nov. 19, 2004 - Following news Lou Holtz announced his pending retirement to his Gamecock players before practice Thursday, the attention of South Carolina fans turns to the man who will reportedly replace him, Steve Spurrier.",1,0
13,Centene will buy FirstGuard for  $93M Centene Corp. has agreed to buy FirstGuard Inc. from Swope Community Enterprises for about  $93 million in cash and enter the Missouri and Kansas markets.,2,0
14,Experts Place Ancient Toolmakers on a Fast Track to Northern China A discovery of 1.66 million-year-old stone tools has produced the earliest evidence that human ancestors apparently dispersed across Asia at a relatively rapid clip.,3,0
15,"Oil Prices Hold Around  $41 a Barrel  SINGAPORE (Reuters) - Oil prices held around  $41 a barrel  on Tuesday on forecasts of colder temperatures in the U.S.  Northeast, a supply cut by top OPEC producer Saudi Arabia and  disruptions to Iraqi crude exports.",2,0
16,"Dell Gets  $700M Deal From Royal Philips Dell Inc. said Thursday that it has won a  $700 million, 5-year contract to provide computers and services for Royal Philips Electronics.",3,0
17,Swedes Launch Scientific Research Rocket (AP) AP - A Swedish Space Corp. sounding rocket successfully carried eight scientific experiments into the edge of space on Monday.,3,0
18,Microsoft Releases MOM 2005 To Manufacturing Channel partners say the release of enterprise and SMB versions of Microsoft Operations Manager 2005 this week will boost Windows management but they #39;re not sure whether it will boost sales.,3,0
19,Russia Boosts Security After Twin Air Crashes  MOSCOW (Reuters) - Russia toughened security measures  Saturday and vowed to prevent any recurrence of twin air  crashes in which investigators were pursuing leads linked to  terrorism ahead of elections in volatile Chechnya.,0,0
